prevword;nextword;prevtag;nexttag;class;;;
Философская;победила;ADJ;VERB;5;;;
третья;это;NUM;PRONOUN;1;;;
рабочая;творчества;ADJ;NOUN;5;;;
Тяжёлая;её;ADJ;PRONOUN;5;;;
эта;показалась;PRONOUN;VERB;1;;;
одна;подымается;NUM;VERB;1;;;
эта;хребта;PRONOUN;NOUN;4;;;
;которая;;PRONOUN;6;;;
;для;;PREP;6;;;
одна;она;NUM;PRONOUN;6;;;
Та;объявляет;PREP;VERB;6;;;
греческая;полностью;ADJ;ADV;6;;;
та;моего;PREP;PRONOUN;5;;;
правая;плоская;ADJ;ADJ;4;;;
другая;разворачивает;ADJ;VERB;4;;;
Советская;отказывалась;ADJ;VERB;6;;;
эта;христианского;PRONOUN;ADJ;5;;;
поэтическая;;ADJ;;5;;;
лицевая;выравнивается;ADJ;VERB;4;;;
невидимая;символической;ADJ;ADJ;5;;;
российская;избегала;ADJ;VERB;6;;;
Российская;предпочла;ADJ;VERB;6;;;
российская;подала;ADJ;VERB;6;;;
положительная;;ADJ;;5;;;
грузинская;ещё;ADJ;ADV;6;;;
Финансовая;реклама;ADJ;NOUN;5;;;
российская;продавила;ADJ;VERB;6;;;
иностранная;;ADJ;;6;;;
эмоциональная;проблемы;ADJ;NOUN;5;;;
наша;и;PRONOUN;CONJ;6;;;
одна;страховщик;NUM;NOUN;6;;;
нам;которой;PRONOUN;PRONOUN;5;;;
внешняя;;ADJ;;5;;;
заинтересованная;о;VERB;PREP;6;;;
одна;вопроса;NUM;NOUN;6;;;
каждая;обвинения;ADJ;NOUN;6;;;
обратная;медали;ADJ;NOUN;5;;;
оборотная;наших;ADJ;NOUN;5;;;
левая;дома;ADJ;NOUN;4;;;
Петербургская;Петрограда;ADJ;NOUN;3;;;
дело ―;я;NOUN;PRONOUN;2;;;
одна;брала;NUM;VERB;6;;;
теневая;в;ADJ;PREP;5;;;
другая;тоже;ADJ;ADV;6;;;
эта;улицы;PRONOUN;NOUN;3;;;
закатная;;ADJ;;4;;;
практическая;;ADJ;;5;;;
Правая;проезжей;ADJ;ADJ;3;;;
физико-химическая;человека;ADJ;NOUN;5;;;
вторая;дела;ADJ;NOUN;5;;;
одна;вопроса;ADJ;NOUN;6;;;
другая;упирается;ADJ;VERB;6;;;
другая;крайне;ADJ;ADV;6;;;
неожиданная;бригадира;ADJ;NOUN;5;;;
Левая;действительности;ADJ;NOUN;5;;;
северная;;ADJ;;4;;;
принимающая;хотела;VERB;VERB;6;;;
каждая;должна;ADJ;VERB;6;;;
российская;представила;ADJ;VERB;6;;;
российская;чтобы;ADJ;;6;;;
латвийская;;ADJ;;6;;;
Российская;удовлетворена;ADJ;VERB;6;;;
Американская;выступает;ADJ;VERB;6;;;
Обратная;земли;ADJ;NOUN;4;;;
надзирающая;сообщает;VERB;VERB;5;;;
другая;вопроса;ADJ;NOUN;5;;;
одна;вытеснит;NUM;VERB;6;;;
оборотная;женской;ADJ;ADJ;5;;;
третья;это;NUM;PRONOUN;6;;;
обратная;атомистического;ADJ;ADJ;6;;;
рабочая;творчества;ADJ;ADJ;5;;;
Тяжёлая;её;ADJ;PRONOUN;5;;;
тут;то;PREP;PREP;2;;;
техническая;изучение;ADJ;NOUN;5;;;
Правая;его;ADJ;PRONOUN;5;;;
другая;не;ADJ;NEG;6;;;
другая;не;ADJ;NEG;6;;;
одна;должна;NUM;VERB;6;;;
правая;лица;ADJ;NOUN;5;;;
обратная;более;ADJ;ADV;4;;;
бытовая;складывается;ADJ;VERB;5;;;
наветренная;;ADJ;;4;;;
левая;тела;ADJ;VERB;4;;;
моральная;дела;ADJ;NOUN;5;;;
меня;просит;PRONOUN;VERB;6;;;
сильная;в;ADJ;PREP;5;;;
обратная;луны;ADJ;NOUN;4;;;
дело ―;Сторона;NOUN;NOUN;4;;;
левая;но;ADJ;CONJ;4;;;
конечно,;но;ADV;CONJ;2;;;
левая;дома;ADJ;CONJ;4;;;
вторая;обложки;NUM;NOUN;4;;;
обратная;;ADJ;;4;;;
принимающая;;VERB;;4;;;
Любая;конечно;ADJ;;;;;
Договаривающаяся;подтверждает;VERB;VERB;6;;;
Договаривающаяся;разрешает;VERB;VERB;6;;;
Договаривающаяся;вправе;VERB;VERB;6;;;
другая;;ADJ;;4;;;
;получившая;;VERB;6;;;
Договора;инициатор;NOUN;NOUN;6;;;
;получившая;;VERB;6;;;
;трудового;;ADJ;5;;;
каждая;должна;ADJ;VERB;5;;;
Всасывающая;вентилятора;VERB;NOUN;4;;;
каждая;должна;ADJ;VERB;6;;;
Белорусская;выступает;ADJ;VERB;6;;;
Российская;считает;ADJ;VERB;6;;;
российская;неоднократно;ADJ;ADV;6;;;
Российская;пока;ADJ;ADV;6;;;
российская;попрежнему;ADJ;ADV;6;;;
американская;начиная;ADJ;VERB;6;;;
практическая;должна;ADJ;VERB;5;;;
российская;не;ADJ;NEG;6;;;
белорусская;просит;ADJ;VERB;6;;;
Американская;мягко;ADJ;ADV;6;;;
Французская;свое;ADJ;PRONOUN;6;;;
российская;в;ADJ;PREP;6;;;
и;губернатора;CONJ;NOUN;6;;;
Белорусская;переступила;ADJ;VERB;6;;;
Российская;сильно;ADJ;ADV;6;;;
американская;потребовала;ADJ;VERB;6;;;
российская;не;ADJ;NEG;6;;;
Российская;в;ADJ;PREP;6;;;
же;видит;PREP;VERB;6;;;
российская;попрежнему;ADJ;ADV;6;;;
российская;не;ADJ;NEG;6;;;
Польская;искренне;ADJ;ADV;6;;;
Абхазская;в;ADJ;PREP;6;;;
Китайская;документ;ADJ;NOUN;6;;;
российская;благодарна;ADJ;VERB;6;;;
объективная;дела;ADJ;NOUN;5;;;
слабая;;ADJ;;5;;;
другая;конфликта;ADJ;NOUN;5;;;
противная;была;ADJ;VERB;6;;;
превосходство;может;;VERB;6;;;
Экономическая;этого;ADJ;PRONOUN;5;;;
важнейшая;нашей;ADJ;PRONOUN;5;;;
