prevword,nextword,prevtag,nexttag,class,,,,gr1,gr2,gr3,gr4,gr5,gr6
российская,предлагала,ADJ,VERB,2,,,,0,1,0,0,0,1
Американская,выступает,ADJ,VERB,2,,,,0,0,0,0,0,0
надзирающая,сообщает,ADJ,VERB,6,,,,0,0,0,0,0,1
другая,вопроса,ADJ,NOUN,5,,,,0,0,0,0,1,0
одна,вытеснит,NUM,VERB,6,,,,1,0,0,0,0,0
Философская,победила,ADJ,VERB,5,,,,0,0,0,0,0,0
третья,это,NUM,PRONOUN,1,,,,0,0,0,0,0,0
рабочая,творчества,ADJ,NOUN,5,,,,0,0,0,0,0,0
Тяжёлая,её,ADJ,PRONOUN,5,,,,0,0,0,0,0,0
эта,показалась,PRONOUN,VERB,1,,,,0,0,0,0,0,0
одна,подымается,NUM,VERB,1,,,,1,0,0,0,0,0
эта,хребта,PRONOUN,NOUN,4,,,,0,0,0,0,0,0
,которая,,PRONOUN,6,,,,0,0,0,0,0,0
,для,,PREP,6,,,,0,0,0,0,0,0
одна,она,NUM,PRONOUN,6,,,,1,0,0,0,0,0
Та,объявляет,PREP,VERB,6,,,,0,0,0,0,0,0
греческая,полностью,ADJ,ADV,6,,,,0,1,0,0,0,0
та,моего,PREP,PRONOUN,5,,,,0,0,0,0,0,0
правая,плоская,ADJ,ADJ,4,,,,1,0,0,0,0,0
другая,разворачивает,ADJ,VERB,4,,,,0,0,0,0,1,0
Советская,отказывалась,ADJ,VERB,6,,,,0,0,0,0,0,0
эта,христианского,PRONOUN,ADJ,5,,,,0,0,0,0,0,0
поэтическая,,ADJ,,5,,,,0,0,0,0,0,0
лицевая,выравнивается,ADJ,VERB,4,,,,0,0,0,1,0,0
невидимая,символической,ADJ,ADJ,5,,,,0,0,0,0,0,0
российская,избегала,ADJ,VERB,6,,,,0,1,0,0,0,1
Российская,предпочла,ADJ,VERB,6,,,,0,0,0,0,0,0
российская,подала,ADJ,VERB,6,,,,0,1,0,0,0,1
положительная,,ADJ,,5,,,,0,0,0,0,0,0
грузинская,ещё,ADJ,ADV,6,,,,0,0,0,0,0,1
Финансовая,реклама,ADJ,NOUN,5,,,,0,0,0,0,0,0
российская,продавила,ADJ,VERB,6,,,,0,1,0,0,0,1
иностранная,,ADJ,,6,,,,0,0,0,0,0,0
эмоциональная,проблемы,ADJ,NOUN,5,,,,0,0,0,0,0,0
наша,и,PRONOUN,CONJ,6,,,,1,0,0,0,0,0
одна,страховщик,NUM,NOUN,6,,,,1,0,0,0,0,0
нам,которой,PRONOUN,PRONOUN,5,,,,0,0,0,0,0,0
внешняя,,ADJ,,5,,,,0,0,0,0,0,0
заинтересованная,о,VERB,PREP,6,,,,0,0,0,0,0,0
одна,вопроса,NUM,NOUN,6,,,,1,0,0,0,0,0
каждая,обвинения,ADJ,NOUN,6,,,,0,0,0,0,0,0
обратная,медали,ADJ,NOUN,5,,,,0,0,0,0,0,0
оборотная,наших,ADJ,NOUN,5,,,,0,0,0,0,0,0
левая,дома,ADJ,NOUN,4,,,,1,0,0,0,0,0
Петербургская,Петрограда,ADJ,NOUN,3,,,,0,0,1,0,0,0
дело ―,я,NOUN,PRONOUN,2,,,,0,0,0,0,0,0
одна,брала,NUM,VERB,6,,,,1,0,0,0,0,0
теневая,в,ADJ,PREP,5,,,,0,0,0,0,0,0
другая,тоже,ADJ,ADV,6,,,,0,0,0,0,1,0
эта,улицы,PRONOUN,NOUN,3,,,,0,0,0,0,0,0
закатная,,ADJ,,4,,,,0,0,0,1,0,0
практическая,,ADJ,,5,,,,0,0,0,0,0,0
Правая,проезжей,ADJ,ADJ,3,,,,0,0,0,0,0,0
физико-химическая,человека,ADJ,NOUN,5,,,,0,0,0,0,0,0
вторая,дела,ADJ,NOUN,5,,,,0,0,0,0,0,0
одна,вопроса,ADJ,NOUN,6,,,,1,0,0,0,0,0
другая,упирается,ADJ,VERB,6,,,,0,0,0,0,1,0
другая,крайне,ADJ,ADV,6,,,,0,0,0,0,1,0
неожиданная,бригадира,ADJ,NOUN,5,,,,0,0,0,0,0,0
Левая,действительности,ADJ,NOUN,5,,,,0,0,0,0,0,0
северная,,ADJ,,4,,,,0,0,0,0,0,0
принимающая,хотела,VERB,VERB,6,,,,0,0,0,0,0,0
каждая,должна,ADJ,VERB,6,,,,0,0,0,0,0,0
российская,представила,ADJ,VERB,6,,,,0,1,0,0,0,1
российская,чтобы,ADJ,,6,,,,0,1,0,0,0,1
латвийская,,ADJ,,6,,,,0,0,0,0,0,0
Российская,удовлетворена,ADJ,VERB,6,,,,0,0,0,0,0,0
Американская,выступает,ADJ,VERB,6,,,,0,0,0,0,0,0
Обратная,земли,ADJ,NOUN,4,,,,0,0,0,0,0,0
надзирающая,сообщает,VERB,VERB,5,,,,0,0,0,0,0,1
другая,вопроса,ADJ,NOUN,5,,,,0,0,0,0,1,0
одна,вытеснит,NUM,VERB,6,,,,1,0,0,0,0,0
оборотная,женской,ADJ,ADJ,5,,,,0,0,0,0,0,0
третья,это,NUM,PRONOUN,6,,,,0,0,0,0,0,0
обратная,атомистического,ADJ,ADJ,6,,,,0,0,0,0,0,0
рабочая,творчества,ADJ,ADJ,5,,,,0,0,0,0,0,0
Тяжёлая,её,ADJ,PRONOUN,5,,,,0,0,0,0,0,0
тут,то,PREP,PREP,2,,,,0,0,0,0,0,0
техническая,изучение,ADJ,NOUN,5,,,,0,0,0,0,0,0
Правая,его,ADJ,PRONOUN,5,,,,0,0,0,0,0,0
другая,не,ADJ,NEG,6,,,,0,0,0,0,1,0
другая,не,ADJ,NEG,6,,,,0,0,0,0,1,0
одна,должна,NUM,VERB,6,,,,1,0,0,0,0,0
правая,лица,ADJ,NOUN,5,,,,1,0,0,0,0,0
обратная,более,ADJ,ADV,4,,,,0,0,0,0,0,0
бытовая,складывается,ADJ,VERB,5,,,,0,0,0,0,0,0
наветренная,,ADJ,,4,,,,0,0,0,0,0,0
левая,тела,ADJ,VERB,4,,,,1,0,0,0,0,0
моральная,дела,ADJ,NOUN,5,,,,0,0,0,0,0,0
меня,просит,PRONOUN,VERB,6,,,,0,0,0,0,0,0
сильная,в,ADJ,PREP,5,,,,0,0,0,0,0,0
обратная,луны,ADJ,NOUN,4,,,,0,0,0,0,0,0
дело ―,Сторона,NOUN,NOUN,4,,,,0,0,0,0,0,0
левая,но,ADJ,CONJ,4,,,,1,0,0,0,0,0
конечно,,но,ADV,CONJ,2,,,,0,0,0,0,0,0
левая,дома,ADJ,CONJ,4,,,,1,0,0,0,0,0
вторая,обложки,NUM,NOUN,4,,,,0,0,0,0,0,0
обратная,,ADJ,,4,,,,0,0,0,0,0,0
принимающая,,VERB,,4,,,,0,0,0,0,0,0
Любая,конечно,ADJ,,,,,,0,0,0,0,0,0
Договаривающаяся,подтверждает,VERB,VERB,6,,,,0,0,0,0,0,0
Договаривающаяся,разрешает,VERB,VERB,6,,,,0,0,0,0,0,0
Договаривающаяся,вправе,VERB,VERB,6,,,,0,0,0,0,0,0
другая,,ADJ,,4,,,,0,0,0,0,1,0
,получившая,,VERB,6,,,,0,0,0,0,0,0
Договора,инициатор,NOUN,NOUN,6,,,,0,0,0,0,0,0
,получившая,,VERB,6,,,,0,0,0,0,0,0
,трудового,,ADJ,5,,,,0,0,0,0,0,0
каждая,должна,ADJ,VERB,5,,,,0,0,0,0,0,0
Всасывающая,вентилятора,VERB,NOUN,4,,,,0,0,0,0,0,0
каждая,должна,ADJ,VERB,6,,,,0,0,0,0,0,0
Белорусская,выступает,ADJ,VERB,6,,,,0,0,0,0,0,0
Российская,считает,ADJ,VERB,6,,,,0,0,0,0,0,0
российская,неоднократно,ADJ,ADV,6,,,,0,1,0,0,0,1
Российская,пока,ADJ,ADV,6,,,,0,0,0,0,0,0
российская,попрежнему,ADJ,ADV,6,,,,0,1,0,0,0,1
американская,начиная,ADJ,VERB,6,,,,0,0,0,0,0,0
практическая,должна,ADJ,VERB,5,,,,0,0,0,0,0,0
российская,не,ADJ,NEG,6,,,,0,1,0,0,0,1
белорусская,просит,ADJ,VERB,6,,,,0,0,0,0,0,0
Американская,мягко,ADJ,ADV,6,,,,0,0,0,0,0,0
Французская,свое,ADJ,PRONOUN,6,,,,0,0,0,0,0,0
российская,в,ADJ,PREP,6,,,,0,1,0,0,0,1
и,губернатора,CONJ,NOUN,6,,,,0,0,0,0,0,0
Белорусская,переступила,ADJ,VERB,6,,,,0,0,0,0,0,0
Российская,сильно,ADJ,ADV,6,,,,0,0,0,0,0,0
американская,потребовала,ADJ,VERB,6,,,,0,0,0,0,0,0
российская,не,ADJ,NEG,6,,,,0,1,0,0,0,1
Российская,в,ADJ,PREP,6,,,,0,0,0,0,0,0
же,видит,PREP,VERB,6,,,,0,0,0,0,0,0
российская,попрежнему,ADJ,ADV,6,,,,0,1,0,0,0,1
российская,не,ADJ,NEG,6,,,,0,1,0,0,0,1
Польская,искренне,ADJ,ADV,6,,,,0,0,0,0,0,0
Абхазская,в,ADJ,PREP,6,,,,0,0,0,0,0,0
Китайская,документ,ADJ,NOUN,6,,,,0,0,0,0,0,0
российская,благодарна,ADJ,VERB,6,,,,0,1,0,0,0,1
объективная,дела,ADJ,NOUN,5,,,,0,0,0,0,0,0
слабая,,ADJ,,5,,,,0,0,0,0,0,0
другая,конфликта,ADJ,NOUN,5,,,,0,0,0,0,1,0
противная,была,ADJ,VERB,6,,,,0,0,0,0,0,0
превосходство,может,,VERB,6,,,,0,0,0,0,0,0
Экономическая,этого,ADJ,PRONOUN,5,,,,0,0,0,0,0,0
важнейшая,нашей,ADJ,PRONOUN,5,,,,0,0,0,0,0,0
